,id_post,id,message,picture,link,name,caption,description,icon,type,status_type,created_time,updated_time,shares
0,79,612616258840297_788533214581933,We are all equal on the pitch and in the stands. #EmbraceDiversity #Copa100,https://fbcdn-vthumb-a.akamaihd.net/hvthumb-ak-xaf1/v/t15.0-10/s130x130/13538151_788533971248524_1690994732_n.jpg?oh=a11fbfc1798f6e5d3ab9a91cc382ef47&oe=57EE0CDE&__gda__=1478965800_b22297140acd501808947e04724412ac,https://www.facebook.com/2016CopaAmericaCentenario/videos/788533214581933/,Embrace Diversity,,,https://www.facebook.com/images/icons/video.gif,video,added_video,2016-06-26T23:46:21+0000,2016-06-27T03:35:49+0000,151
1,80,612616258840297_788533131248608,Únete a nuestro equipo. #CelebralaDiversidad #Copa100,https://fbcdn-vthumb-a.akamaihd.net/hvthumb-ak-xtp1/v/t15.0-10/s130x130/13538317_788533864581868_1152413420_n.jpg?oh=9e7a41cbd12e436c417847215a789d5d&oe=57F7939D&__gda__=1474976282_65bd9d5facd035c3190359d85cb31a29,https://www.facebook.com/2016CopaAmericaCentenario/videos/788533131248608/,,,,https://www.facebook.com/images/icons/video.gif,video,added_video,2016-06-26T23:46:13+0000,2016-06-27T08:19:18+0000,39
2,81,612616258840297_788522411249680,"¡Con esta alineación, el Tata Martino confía que la AFA - Selección Argentina quedará campeón de la #Copa100! #ARGvCHI",https://fbcdn-photos-b-a.akamaihd.net/hphotos-ak-xpl1/v/t1.0-0/s130x130/13529182_788522411249680_3170139643603108401_n.png?oh=de1d770cfbd7233a8be998b30adb488d&oe=57F4A9F9&__gda__=1475688656_d12b6e6397dddbf793bb0bdfe69f8af5,https://www.facebook.com/2016CopaAmericaCentenario/photos/a.688703801231542.1073741828.612616258840297/788522411249680/?type=3,Timeline Photos,,,https://www.facebook.com/images/icons/photo.gif,photo,added_photos,2016-06-26T23:21:17+0000,2016-06-28T11:18:31+0000,293
3,82,612616258840297_788518414583413,Here are the lineups for the #Copa100 Final. #ARGvCHI ?????,https://fbcdn-photos-b-a.akamaihd.net/hphotos-ak-xft1/v/t1.0-0/s130x130/13529118_788518287916759_697628566431201681_n.png?oh=6baf1dfccab8a599299fdf3be8396ca0&oe=57F81A1A&__gda__=1475085445_80fe123c7dd4ddac402ed7977751fc78,https://www.facebook.com/2016CopaAmericaCentenario/photos/a.688703801231542.1073741828.612616258840297/788518287916759/?type=3,Photos from Copa América Centenario 2016's post,,,https://www.facebook.com/images/icons/photo.gif,photo,added_photos,2016-06-26T23:13:13+0000,2016-06-27T04:54:13+0000,516
4,83,612616258840297_788518307916757,¡Estos son los 11 jugadores que representarán a la Selección Chilena en la gran final de #Copa100! #ARGvCHI,https://fbcdn-photos-a-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-0/s130x130/13516737_788518307916757_6935236717740210301_n.png?oh=49ec5034031bc462fba4aab026398a51&oe=57ED6876&__gda__=1475395473_ef00da7d247568d540377158b0dbb96a,https://www.facebook.com/2016CopaAmericaCentenario/photos/a.688703801231542.1073741828.612616258840297/788518307916757/?type=3,Timeline Photos,,,https://www.facebook.com/images/icons/photo.gif,photo,added_photos,2016-06-26T23:13:00+0000,2016-06-27T15:21:15+0000,114
5,84,612616258840297_788518211250100,"Confira as escalações da AFA - Selección Argentina e da Selección Chilena para a final de hoje na #Copa100 daqui a pouco! E aí, quem leva a melhor?",https://fbcdn-photos-b-a.akamaihd.net/hphotos-ak-xlp1/v/t1.0-0/s130x130/13528812_788518097916778_5720639501322772483_n.png?oh=073ec22ddf53bc4f12a91c6932f3e4de&oe=57EE350E&__gda__=1479920432_5008f15e5b8c453afcfb2cf04ef1fe96,https://www.facebook.com/2016CopaAmericaCentenario/photos/a.688703801231542.1073741828.612616258840297/788518097916778/?type=3,Photos from Copa América Centenario 2016's post,,,https://www.facebook.com/images/icons/photo.gif,photo,added_photos,2016-06-26T23:12:38+0000,2016-06-28T10:51:37+0000,161
6,85,612616258840297_788504327918155,Live with the golden boot... #copa100,https://fbcdn-vthumb-a.akamaihd.net/hvthumb-ak-xtp1/v/t15.0-10/p130x130/13538048_788510951250826_1835256422_n.jpg?oh=391be9ecd7965dc0b32d478a994a22a7&oe=57FBA778&__gda__=1475519999_5b15038d7523172583559fb14d8df168,https://www.facebook.com/2016CopaAmericaCentenario/videos/788504327918155/,,,,https://www.facebook.com/images/icons/video.gif,video,added_video,2016-06-26T22:49:30+0000,2016-07-10T22:04:18+0000,956
7,86,612616258840297_788496651252256,Live with the golden ball... #copa100,https://fbcdn-vthumb-a.akamaihd.net/hvthumb-ak-xpt1/v/t15.0-10/p130x130/13538075_788499771251944_1310864460_n.jpg?oh=9b338d1b5566c2301682427bf868251e&oe=583083AF&__gda__=1479303908_9d68f317c760c9d1e3ac3ed597d06e0c,https://www.facebook.com/2016CopaAmericaCentenario/videos/788496651252256/,,,,https://www.facebook.com/images/icons/video.gif,video,added_video,2016-06-26T22:39:22+0000,2016-07-10T13:32:26+0000,597
8,87,612616258840297_788486021253319,Live with the golden glove... #copa100,https://fbcdn-vthumb-a.akamaihd.net/hvthumb-ak-xfa1/v/t15.0-10/p130x130/13481536_788494791252442_370471532_n.jpg?oh=05b3096354ae8295feb749a599216c91&oe=57F6C622&__gda__=1479647582_a833c5cc0c7e56bb68f13ed83ef06804,https://www.facebook.com/2016CopaAmericaCentenario/videos/788486021253319/,,,,https://www.facebook.com/images/icons/video.gif,video,added_video,2016-06-26T22:33:32+0000,2016-07-10T22:06:33+0000,294
9,88,612616258840297_788477817920806,"AFA - Selección Argentina va llegado a MetLife Stadium para enfrentar a Chile #ARGvCHI #Copa100 #CopaAmérica #Final

Team Argentina has arrived for their Final match vs Chile",https://fbcdn-vthumb-a.akamaihd.net/hvthumb-ak-xat1/v/t15.0-10/p130x130/13537879_788485161253405_1116030449_n.jpg?oh=b4439284fec6c6ac2e273a40db5428a3&oe=57EC7F93&__gda__=1476165139_2f7836e5e35e230a1ef08eca0ee1153e,https://www.facebook.com/2016CopaAmericaCentenario/videos/788477817920806/,,,,https://www.facebook.com/images/icons/video.gif,video,added_video,2016-06-26T22:27:47+0000,2016-07-05T01:35:04+0000,362
